Replicate,Batch,Exposure Date,P_Level,Infected,,,,,,,,,,,,,,,
149,C,10/19/21,14,1,,,,,,,,,,,,,,,
150,C,10/19/21,14,1,,,,,,,,,,,,,,,
151,C,10/19/21,14,0,,,,,,,,,,,,,,,
152,C,10/19/21,14,0,,,,,,,,,,,,,,,
153,D,11/9/21,2,1,,,,,,,,,,,,,,,
154,D,11/9/21,2,1,,,,,,,,,,,,,,,
155,D,11/9/21,2,1,,,,,,,,,,,,,,,
156,D,11/9/21,2,1,,,,,,,,,,,,,,,
157,D,11/9/21,2,1,,,,,,,,,,,,,,,
158,D,11/9/21,2,1,,,,,,,,,,,,,,,
159,D,11/9/21,2,1,,,,,,,,,,,,,,,
160,D,11/9/21,2,0,,,,,,,,,,,,,,,
161,D,11/9/21,2,0,,,,,,,,,,,,,,,
162,D,11/9/21,2,0,,,,,,,,,,,,,,,
163,D,11/9/21,2,0,,,,,,,,,,,,,,,
164,D,11/9/21,2,0,,,,,,,,,,,,,,,
165,D,11/9/21,2,0,,,,,,,,,,,,,,,
166,D,11/9/21,2,0,,,,,,,,,,,,,,,
167,D,11/9/21,2,0,,,,,,,,,,,,,,,
168,D,11/9/21,2,0,,,,,,,,,,,,,,,
169,D,11/9/21,2,0,,,,,,,,,,,,,,,
170,D,11/9/21,2,0,,,,,,,,,,,,,,,
171,D,11/9/21,8,1,,,,,,,,,,,,,,,
172,D,11/9/21,8,1,,,,,,,,,,,,,,,
173,D,11/9/21,8,1,,,,,,,,,,,,,,,
174,D,11/9/21,8,1,,,,,,,,,,,,,,,
175,D,11/9/21,8,1,,,,,,,,,,,,,,,
176,D,11/9/21,8,1,,,,,,,,,,,,,,,
177,D,11/9/21,8,1,,,,,,,,,,,,,,,
178,D,11/9/21,8,1,,,,,,,,,,,,,,,
179,D,11/9/21,8,1,,,,,,,,,,,,,,,
180,D,11/9/21,8,1,,,,,,,,,,,,,,,
181,D,11/9/21,8,1,,,,,,,,,,,,,,,
182,D,11/9/21,8,1,,,,,,,,,,,,,,,
183,D,11/9/21,8,1,,,,,,,,,,,,,,,
184,D,11/9/21,8,1,,,,,,,,,,,,,,,
185,D,11/9/21,8,0,,,,,,,,,,,,,,,
186,D,11/9/21,8,0,,,,,,,,,,,,,,,
187,D,11/9/21,8,0,,,,,,,,,,,,,,,
188,D,11/9/21,8,0,,,,,,,,,,,,,,,
189,D,11/9/21,14,1,,,,,,,,,,,,,,,
190,D,11/9/21,14,1,,,,,,,,,,,,,,,
191,D,11/9/21,14,1,,,,,,,,,,,,,,,
192,D,11/9/21,14,1,,,,,,,,,,,,,,,
193,D,11/9/21,14,1,,,,,,,,,,,,,,,
194,D,11/9/21,14,1,,,,,,,,,,,,,,,
195,D,11/9/21,14,1,,,,,,,,,,,,,,,
196,D,11/9/21,14,1,,,,,,,,,,,,,,,
197,D,11/9/21,14,1,,,,,,,,,,,,,,,
198,D,11/9/21,14,1,,,,,,,,,,,,,,,
199,D,11/9/21,14,1,,,,,,,,,,,,,,,
200,D,11/9/21,14,1,,,,,,,,,,,,,,,
201,D,11/9/21,14,1,,,,,,,,,,,,,,,
202,D,11/9/21,14,1,,,,,,,,,,,,,,,
203,D,11/9/21,14,1,,,,,,,,,,,,,,,
204,D,11/9/21,14,1,,,,,,,,,,,,,,,
205,D,11/9/21,14,1,,,,,,,,,,,,,,,
206,D,11/9/21,14,1,,,,,,,,,,,,,,,
