"Structure","P_Level","N_S","N_M","N_L"
"Uniform Medium",65,0,0,0
"Uniform Large",65,0,0,0
"Equal",65,0,0,0
"Small Skewed",65,0,0,0
"Uniform Small",66,0,0,0
"Uniform Medium",66,0,0,0
"Uniform Large",66,0,0,0
"Equal",66,0,0,0
"Small Skewed",66,0,0,0
"Uniform Small",67,0,0,0
"Uniform Medium",67,0,0,0
"Uniform Large",67,0,0,0
"Equal",67,0,0,0
"Small Skewed",67,0,0,0
"Uniform Small",68,0,0,0
"Uniform Medium",68,0,0,0
"Uniform Large",68,0,0,0
"Equal",68,0,0,0
"Small Skewed",68,0,0,0
"Uniform Small",69,0,0,0
"Uniform Medium",69,0,0,0
"Uniform Large",69,0,0,0
"Equal",69,0,0,0
"Small Skewed",69,0,0,0
"Uniform Small",70,0,0,0
"Uniform Medium",70,0,0,0
"Uniform Large",70,0,0,0
"Equal",70,0,0,0
"Small Skewed",70,0,0,0
"Uniform Small",71,0,0,0
"Uniform Medium",71,0,0,0
"Uniform Large",71,0,0,0
"Equal",71,0,0,0
"Small Skewed",71,0,0,0
"Uniform Small",72,0,0,0
"Uniform Medium",72,0,0,0
"Uniform Large",72,0,0,0
"Equal",72,0,0,0
"Small Skewed",72,0,0,0
"Uniform Small",73,0,0,0
"Uniform Medium",73,0,0,0
"Uniform Large",73,0,0,0
"Equal",73,0,0,0
"Small Skewed",73,0,0,0
"Uniform Small",74,0,0,0
"Uniform Medium",74,0,0,0
"Uniform Large",74,0,0,0
"Equal",74,0,0,0
"Small Skewed",74,0,0,0
"Uniform Small",75,0,0,0
"Uniform Medium",75,0,0,0
"Uniform Large",75,0,0,0
"Equal",75,0,0,0
"Small Skewed",75,0,0,0
"Uniform Small",76,0,0,0
"Uniform Medium",76,0,0,0
"Uniform Large",76,0,0,0
"Equal",76,0,0,0
"Small Skewed",76,0,0,0
"Uniform Small",77,0,0,0
"Uniform Medium",77,0,0,0
"Uniform Large",77,0,0,0
"Equal",77,0,0,0
